category,rating,reviews,content_rating,last_updated_on,price_transformed,size_transformed,release_transformed,os_transformed,downloads
Education,4.51,1631,Everyone,2019-10-26,0.0,2.0M,1.7.3,4.1 and up,"100,000+"
Communication,4.14,141,Everyone,2020-03-10,0.0,3.6M,5,4.1 and up,"10,000+"
News And Magazines,4.0,7006,Everyone,2019-09-04,0.0,23M,5.6.40,4.0 and up,"1,000,000+"
Game Board,3.91,25591,Everyone,2020-04-09,372.1542,23M,4.6.9,4.0 and up,"500,000+"
Education,4.3,656,Everyone,2015-08-15,0.0,556k,1.1,2.2 and up,"10,000+"
House And Home,3.5,6,Everyone,2020-04-29,0.0,8.2M,1.0.23,4.4 and up,"5,000+"
Game Action,4.5,48745,Everyone,2019-11-22,0.0,41M,1.2.5,4.2 and up,"1,000,000+"
Personalization,4.2,18926,Everyone,2014-11-02,0.0,2.9M,0.5.2 beta,2.2 and up,"1,000,000+"
Game Puzzle,4.86,50152,Everyone,2020-05-07,0.0,38M,8.2.2,4.1 and up,"1,000,000+"
Sports,4.4,129409,Everyone,2019-09-08,148.4142,73M,1.5.1,4.0.3 and up,"1,000,000+"
Productivity,4.61,28795,Everyone,2020-05-03,0.0,,,,"500,000+"
Business,4.0,3,Everyone,2019-05-22,0.0,16M,1.10,4.1 and up,"1,000+"
Health And Fitness,4.9,272337,Everyone,2019-07-26,0.0,13M,1.0.2,4.2 and up,"10,000,000+"
Health And Fitness,4.76,9110,Everyone,2017-07-02,0.0,8.3M,2.0.3,4.1 and up,"100,000+"
Education,4.65,4542,Everyone,2020-05-05,0.0,45M,2.6.1,4.1 and up,"500,000+"
Tools,4.3,817,Everyone,2019-11-02,0.0,7.0M,1.8,4.1 and up,"100,000+"
Game Casual,4.33,10521,Everyone 10+,2019-04-20,222.9942,70M,1.8,4.0 and up,"100,000+"
Education,4.71,42,Everyone,2020-02-28,0.0,14M,1,4.1 and up,"5,000+"
Education,4.53,5396,Everyone,2020-01-30,0.0,2.6M,4.6.5,4.0.3 and up,"100,000+"
News And Magazines,4.32,38701,Everyone,2020-05-01,0.0,,,,"1,000,000+"
Shopping,4.4,25587,Everyone,2020-03-17,0.0,14M,2.2.15,6.0 and up,"10,000,000+"
Finance,4.2,5,Everyone,2019-10-04,0.0,7.9M,1.5.1,4.3 and up,"1,000+"
Art And Design,3.4,486,Everyone,2019-08-30,0.0,5.9M,5.7,5.0 and up,"100,000+"
Game Simulation,4.42,5761,Everyone,2020-05-07,0.0,94M,1.5.45,4.0.3 and up,"100,000+"
Entertainment,3.9,1917,Everyone,2019-12-18,0.0,32M,1.2.6,5.0 and up,"100,000+"
Weather,4.4,1558437,Everyone,2019-09-05,0.0,,,,"50,000,000+"
Communication,4.2,2424,Everyone,2020-02-12,0.0,6.1M,1.16,4.4 and up,"100,000+"
Game Casual,4.37,250,Everyone,2016-10-26,0.0,2.9M,1.0.3,2.3.3 and up,"10,000+"
Education,2.98,43,Everyone,2020-02-11,0.0,19M,2.1.0,4.4 and up,"10,000+"
Family,4.4,203101,Everyone,2019-07-05,0.0,,,4.1 and up,"5,000,000+"
News And Magazines,4.4,99,Everyone,2020-02-27,0.0,10M,6.8,4.1 and up,"1,000+"
Tools,2.8,5,Everyone,2020-04-28,0.0,9.0M,1.1.6,4.3 and up,100+
Photography,4.14,106,Everyone,2019-11-02,0.0,29M,1.1,4.0.3 and up,"10,000+"
Education,3.24,21,Everyone,2020-02-14,0.0,7.3M,7.3.0,5.0 and up,"5,000+"
Entertainment,3.65,147,Everyone,2019-11-19,0.0,69M,1.6.7,4.4 and up,"10,000+"
Entertainment,4.63,2589,Everyone,2020-03-22,0.0,35M,1.2,4.1 and up,"100,000+"
Tools,4.59,218,Everyone,2019-08-09,73.8342,2.1M,4.0.3 pro,4.4 and up,"5,000+"
Education,4.38,993,Everyone,2020-02-19,0.0,3.9M,1.5.1,3.1 and up,"50,000+"
Shopping,3.55,11,Everyone,2018-01-30,0.0,7.3M,1,4.0.3 and up,"5,000+"
News And Magazines,4.3,577,Everyone,2020-04-25,0.0,5.5M,1,4.0.3 and up,"50,000+"
Maps And Navigation,4.42,179,Everyone,2020-04-15,0.0,9.9M,1.2,4.0.3 and up,"10,000+"
Lifestyle,4.72,27589,Everyone,2020-04-27,0.0,40M,1.17.3,4.2 and up,"500,000+"
Maps And Navigation,4.67,3,Everyone,2020-04-20,0.0,5.6M,1.5,4.4 and up,100+
Travel And Local,3.7,16980,Everyone,2019-08-22,0.0,,,,"5,000,000+"
Game Puzzle,4.53,44077,Everyone,2020-03-26,0.0,100M,1.0.4,4.1 and up,"1,000,000+"
Sports,4.45,394,Everyone,2019-01-25,0.0,21M,1.0.0,4.2 and up,"50,000+"
Entertainment,4.36,126,Everyone,2016-09-07,0.0,15M,1.1.0,2.2 and up,"10,000+"
Photography,4.45,9496,Everyone,2020-02-18,0.0,17M,2.4,4.1 and up,"1,000,000+"
Productivity,4.6,27135,Everyone,2019-06-28,372.1542,,,,"100,000+"
Medical,4.5,199,Everyone,2019-08-01,894.2142,1.8M,3.0.5,4.4w and up,"10,000+"
Game Board,4.38,30007,Everyone,2019-11-22,0.0,23M,1.4.9,4.0 and up,"1,000,000+"
Education,4.23,4597,Everyone,2020-03-18,0.0,13M,39,4.0.3 and up,"1,000,000+"
Finance,4.7,20036,Everyone,2020-04-29,0.0,13M,4.2.1,4.1 and up,"500,000+"
Tools,4.68,41,Everyone,2020-02-04,0.0,6.6M,4,4.1 and up,"10,000+"
Game,4.2,1343866,Teen,2019-09-05,0.0,56M,1.180271.184729,4.0 and up,"10,000,000+"
Lifestyle,4.89,3665,Everyone,2020-01-25,0.0,13M,2.2.0,4.4 and up,"50,000+"
Business,4.28,1845,Everyone,2020-04-30,0.0,58M,7.15.11,5.0 and up,"100,000+"
Finance,4.59,32,Everyone,2020-01-21,0.0,20M,1.0.10,4.0 and up,"5,000+"
Tools,3.14,42,Everyone,2019-01-08,0.0,18M,1.6,3.0 and up,"10,000+"
Dating,4.04,18277,Mature 17+,2020-01-17,0.0,49M,4.6.0,4.0.3 and up,"1,000,000+"
Music And Audio,4.19,36,Everyone,2016-12-17,0.0,5.7M,1,4.0 and up,"5,000+"
Personalization,4.6,4724,Everyone,2019-09-03,0.0,5.4M,1.2,4.0.3 and up,"1,000,000+"
Finance,3.6,903,Everyone,2020-04-21,0.0,21M,7.2.1150.2.717,4.2 and up,"100,000+"
Photography,4.5,12572,Everyone,2019-04-18,0.0,8.5M,1.31,4.0 and up,"1,000,000+"
Books And Reference,4.75,12,Everyone,2019-11-15,0.0,4.8M,1.4,4.4 and up,"1,000+"
Books And Reference,4.68,84,Everyone,2018-09-15,0.0,2.2M,1,4.0 and up,"10,000+"
Game Casual,4.56,26729,Everyone,2020-03-07,0.0,13M,1.16,4.0 and up,"5,000,000+"
Personalization,4.12,4751,Everyone,2020-03-26,0.0,6.8M,1.7c.free,4.4 and up,"1,000,000+"
Photography,4.65,19631,Everyone,2020-05-06,0.0,21M,2.1,4.2 and up,"1,000,000+"
Productivity,4.41,2020,Everyone,2017-12-09,0.0,2.2M,1.1.2,4.1 and up,"500,000+"
Music And Audio,4.7,47,Everyone,2020-02-05,0.0,77M,1,4.1 and up,"5,000+"
Communication,4.4,2473509,Everyone,2019-09-04,0.0,,47.1.2249.129326,,"100,000,000+"
Finance,3.06,5924,Everyone,2020-04-08,0.0,13M,17.4.0,4.1 and up,"500,000+"
Game Casual,4.16,108,Everyone,2020-02-04,0.0,36M,1.02,4.1 and up,"10,000+"
Comics,4.6,245,Teen,2020-04-13,0.0,25M,1.2.4,5.0 and up,"50,000+"
Game Arcade,4.38,601284,Everyone,2019-09-18,0.0,89M,2.9,4.1 and up,"10,000,000+"
Shopping,3.51,327,Everyone,2020-04-12,0.0,3.8M,2.6,4.0.3 and up,"50,000+"
Personalization,4.2,25807,Everyone,2018-12-03,0.0,5.5M,15.0,4.1 and up,"1,000,000+"
Tools,4.56,3944,Everyone,2020-04-27,0.0,2.7M,1.7.7,4.2 and up,"500,000+"
Business,1.33,9,Everyone,2019-10-25,0.0,2.6M,1.1,5.0 and up,"1,000+"
Game Trivia,4.32,7389,Everyone 10+,2020-05-05,0.0,25M,3.8.3,4.1 and up,"500,000+"
Game Role Playing,4.34,2211,Everyone 10+,2020-04-27,0.0,,1.7.4,4.1 and up,"100,000+"
Education,4.63,439,Everyone,2019-12-17,0.0,23M,1.3,4.0 and up,"10,000+"
Books And Reference,4.9,10,Everyone,2020-01-29,0.0,5.2M,1.3,4.4 and up,"1,000+"
Tools,4.9,83,Everyone,2019-07-06,297.5742,3.1M,2.0.0,5.0 and up,500+
Game Casual,4.4,67234,Everyone,2020-02-21,0.0,31M,3.0.2,4.0.3 and up,"5,000,000+"
Social,4.0,852455,Mature 17+,2019-09-07,0.0,68M,27.0,4.2 and up,"10,000,000+"
Music And Audio,4.47,17,Everyone,2020-02-27,0.0,5.6M,1.2,4.4 and up,"10,000+"
Game Puzzle,4.24,89,Everyone,2020-03-13,0.0,20M,1,4.1 and up,"100,000+"
Game,4.8,230710,Everyone,2019-09-06,0.0,87M,1.0.47,4.1 and up,"10,000,000+"
Game Role Playing,4.61,911,Teen,2019-12-12,372.1542,5.2M,1.1.1,4.0 and up,"5,000+"
Medical,4.33,6,Everyone,2020-03-04,0.0,20M,1.4,4.3 and up,"1,000+"
Family,3.4,12,Everyone,2018-10-20,0.0,11M,1.5_6,4.0 and up,"1,000+"
Social,4.3,1716,Mature 17+,2020-04-16,0.0,13M,5.10.1,4.1 and up,"100,000+"
Business,4.87,470,Everyone,2017-08-29,0.0,4.6M,1.1.2,2.3 and up,"50,000+"
Productivity,4.4,480640,Everyone,2019-08-26,0.0,,16.0.10325.20024,4.4 and up,"100,000,000+"
Communication,4.86,429,Everyone,2019-12-27,0.0,7.9M,1.3.1,5.0 and up,"10,000+"
Game Educational,3.89,3260,Everyone,2020-05-06,0.0,16M,2.0.6,4.4 and up,"1,000,000+"
Lifestyle,4.13,13870,Everyone,2020-01-04,0.0,3.8M,1.1.27,2.3 and up,"1,000,000+"
Video Players,3.5,54,Everyone,2014-05-27,0.0,186k,1.0,2.2 and up,"10,000+"
Game Strategy,3.94,751,Everyone 10+,2019-11-26,0.0,29M,1.0.1,4.0 and up,"10,000+"
Game Puzzle,4.23,890,Everyone,2020-01-29,0.0,33M,2.7,4.1 and up,"100,000+"
Medical,4.8,6874,Everyone,2020-05-05,0.0,48M,3.0.3,5.0 and up,"100,000+"
Entertainment,4.36,224319,Mature 17+,2020-05-05,0.0,21M,3.6.5,4.4 and up,"5,000,000+"
Lifestyle,4.32,71325,Everyone,2020-05-06,0.0,12M,2.22.0,4.0.3 and up,"1,000,000+"
Medical,3.5,250,Everyone,2019-08-13,0.0,23M,1.2.0,4.4 and up,"100,000+"
Education,4.21,1022,Everyone,2017-04-17,446.7342,11M,3.5,3.0 and up,"10,000+"
Photography,4.3,13258,Everyone,2019-07-25,0.0,,2.3.0 build 180,5.0 and up,"1,000,000+"
Finance,3.71,15476,Everyone,2020-04-30,0.0,64M,3.27.3,5.0 and up,"1,000,000+"
Tools,4.35,409,Everyone,2017-07-03,0.0,1.2M,1.3,4.0.3 and up,"10,000+"
Personalization,4.1,285,Teen,2018-11-07,0.0,3.9M,5.0,2.3 and up,"50,000+"
Video Players,4.21,13398,Teen,2020-01-18,0.0,,,,"1,000,000+"
Entertainment,4.1,1605,Everyone,2020-04-29,0.0,82M,6,4.0 and up,"1,000,000+"
Lifestyle,3.54,24,Everyone,2015-10-04,0.0,,,,"10,000+"
Business,2.19,11657,Everyone,2020-04-29,0.0,,,,"1,000,000+"
Music And Audio,4.59,605260,Everyone,2020-04-06,0.0,15M,5,4.1 and up,"10,000,000+"
Sports,4.24,21290,Everyone,2020-05-07,0.0,,,,"1,000,000+"
Finance,4.27,619,Everyone,2020-01-20,0.0,5.6M,3.1,4.0 and up,"100,000+"
House And Home,4.13,2539,Everyone,2020-05-02,0.0,34M,1.7.7,4.4 and up,"100,000+"
Game Puzzle,4.13,1560,Everyone,2020-01-30,0.0,11M,5.4,4.1 and up,"100,000+"
Books And Reference,4.32,3554,Everyone,2020-02-19,0.0,8.3M,2,4.4 and up,"1,000,000+"
Entertainment,3.53,2937,Everyone,2020-01-27,0.0,17M,1.17.42,4.0.3 and up,"500,000+"
Personalization,4.47,17398,Everyone,2018-09-20,0.0,8.1M,1.8.0.1807,4.0.3 and up,"1,000,000+"
Shopping,4.54,45278,Everyone,2020-05-06,0.0,34M,5.5.0,4.4 and up,"5,000,000+"
Shopping,4.31,1356,Teen,2020-05-05,0.0,11M,5.3.0,4.3 and up,"500,000+"
Game,4.5,10055521,Everyone,2019-08-02,0.0,94M,1_39_93,4.0.3 and up,"100,000,000+"
Food And Drink,3.52,4052,Everyone,2020-03-19,0.0,23M,4.0.1,4.4 and up,"500,000+"
News And Magazines,1.78,118,Teen,2019-12-07,0.0,68M,3.0.126.103,4.1 and up,"10,000+"
Game Board,4.26,82155,Everyone,2020-04-22,0.0,88M,6.2.2,4.1 and up,"5,000,000+"
Video Players,4.18,170611,Everyone,2020-04-16,0.0,12M,2.1.0,4.1 and up,"10,000,000+"
Game Strategy,4.51,21342,Teen,2020-04-17,0.0,73M,1.1.0.5,4.4 and up,"1,000,000+"
Photography,4.21,3334,Everyone,2020-04-23,0.0,,,,"500,000+"
Game,4.2,93608,Everyone,2019-03-16,0.0,,,,"10,000,000+"
Game Casual,3.53,1121,Everyone,2019-12-18,0.0,5.6M,1.0.9,2.3 and up,"100,000+"
Productivity,4.74,31,Everyone,2015-12-15,0.0,140k,1.32,4.0 and up,100+
Game Casual,4.2,126239,Everyone,2019-11-15,0.0,94M,8.8,2.3.3 and up,"1,000,000+"
Education,4.6,25,Everyone,2020-04-08,0.0,5.6M,1.004,4.1 and up,"1,000+"
Video Players,4.5,1013867,Everyone,2019-09-07,0.0,32M,4.5.0.10701.gp,4.1 and up,"50,000,000+"
Social,4.58,130,Everyone,2019-02-18,0.0,13M,1.02,4.1 and up,"10,000+"
Communication,4.67,49745,Everyone,2018-08-10,0.0,10M,2.1.4,2.3 and up,"1,000,000+"
Photography,4.38,1072743,Everyone,2019-12-03,0.0,,,,"100,000,000+"
Game Sports,4.13,3414,Everyone,2020-05-02,0.0,87M,1.3.8_1,4.4 and up,"500,000+"
Personalization,3.7,10796,Everyone,2019-08-10,0.0,6.8M,6.7.5,4.0.3 and up,"1,000,000+"
Sports,4.44,3008,Everyone,2020-04-08,0.0,3.4M,2.3.2,4.0 and up,"100,000+"
Tools,5.0,3,Everyone,2019-08-06,0.0,1.5M,2.8.0,5.1 and up,100+
Auto And Vehicles,4.1,4721,Everyone,2020-04-21,0.0,3.0M,5.8.13,5.0 and up,"100,000+"
Travel And Local,3.18,678,Everyone,2020-04-16,0.0,15M,2.2.66,4.1 and up,"100,000+"
Tools,4.39,2750,Everyone,2020-02-12,0.0,8.4M,3.2.4,3.0 and up,"100,000+"
Productivity,4.0,4660,Everyone,2017-11-10,0.0,5.9M,1.0,4.0 and up,"1,000,000+"
Game Action,3.89,1685,Teen,2020-05-07,0.0,50M,1.8,4.0.3 and up,"1,000,000+"
Business,4.15,20981,Everyone,2020-05-01,0.0,45M,18.1,5.0 and up,"1,000,000+"
Events,5.0,2,Everyone,2020-03-31,0.0,58M,5.42,6.0 and up,100+
Finance,3.74,4904,Everyone,2020-04-16,0.0,,,,"1,000,000+"
Shopping,4.75,13756,Everyone,2020-04-24,0.0,8.5M,V2.7.3,4.0.3 and up,"500,000+"
Books And Reference,3.12,658,Everyone,2020-01-04,0.0,29M,2.4,4.0.3 and up,"100,000+"
Medical,4.4,463,Everyone,2020-04-22,0.0,25M,2.3.2.470,4.4 and up,"50,000+"
Entertainment,3.16,23457,Teen,2020-04-29,0.0,12M,5.42.5,4.3 and up,"1,000,000+"
Lifestyle,4.36,156,Everyone,2020-01-25,0.0,14M,0.1.8,4.1 and up,"10,000+"
Entertainment,4.34,437,Everyone,2019-10-30,0.0,3.0M,1.4.6,4.1 and up,"100,000+"
Education,4.59,54368,Everyone,2019-07-12,0.0,5.4M,1.8.1,4.1 and up,"1,000,000+"
Game,4.4,30,Everyone,2019-08-06,0.0,47M,1.1,4.1 and up,"5,000+"
Finance,3.96,29427,Everyone,2020-04-19,0.0,20M,0.6.6,4.4 and up,"5,000,000+"
Entertainment,4.19,435,Everyone,2020-04-28,0.0,3.3M,5,4.1 and up,"100,000+"
Medical,4.34,32,Everyone,2020-05-05,670.4742,2.3M,2.0.8,2.3 and up,500+
Medical,3.83,826,Everyone,2020-04-22,0.0,75M,3.5.1,4.4 and up,"100,000+"
Game Arcade,3.95,41716,Everyone,2020-03-25,0.0,53M,1.4.9,4.4 and up,"10,000,000+"
Tools,4.17,477067,Everyone,2019-01-18,0.0,,,,"50,000,000+"
Game,3.7,11,Everyone,2019-06-25,0.0,4.8M,6.2-begina,4.0 and up,"5,000+"
News And Magazines,4.7,273,Everyone,2019-09-11,0.0,6.3M,2.9.0,4.1 and up,"10,000+"
Finance,3.52,423,Everyone,2020-04-10,0.0,8.9M,2.0.1,4.4 and up,"50,000+"
Communication,3.85,329,Mature 17+,2020-04-13,0.0,6.6M,1.4,4.0.3 and up,"500,000+"
Communication,3.74,24240,Everyone,2018-06-09,0.0,5.1M,2.3.1,4.1 and up,"1,000,000+"
Education,4.88,8,Everyone,2020-04-26,745.0542,,1,5.0 and up,100+
Game Educational,4.19,81204,Everyone,2019-12-24,0.0,88M,1.4,4.1 and up,"10,000,000+"
Health And Fitness,3.84,51,Everyone,2020-03-28,0.0,11M,8.1.6,4.1 and up,"10,000+"
Education,4.45,754,Everyone,2020-03-21,0.0,7.1M,1.5,4.2 and up,"100,000+"
Health And Fitness,4.49,3346,Everyone,2020-03-20,222.9942,49M,107.9,6.0 and up,"50,000+"
Travel And Local,4.4,61776,Teen,2019-08-14,0.0,,,,"1,000,000+"
Medical,4.7,8348,Everyone,2019-05-18,0.0,2.6M,1.4.6,4.0 and up,"500,000+"
Finance,3.18,6236,Everyone,2020-03-27,0.0,16M,2.5.6,4.4 and up,"100,000+"
Social,3.6,40,Everyone,2018-03-24,0.0,1.5M,4.4,4.2 and up,"5,000+"
Health And Fitness,4.0,32,Everyone,2018-06-24,0.0,64M,3.9,4.1 and up,"5,000+"
Communication,4.32,589,Everyone,2020-01-11,0.0,9.3M,3,4.0.3 and up,"100,000+"
Game Puzzle,4.37,389,Everyone,2019-12-28,0.0,8.6M,1.10.0,4.0.3 and up,"50,000+"
Education,4.14,29,Everyone,2017-05-31,0.0,26M,1.0.8,2.3 and up,"1,000+"
Education,4.68,2120,Everyone,2020-03-10,0.0,6.1M,1.5,4.1 and up,"100,000+"
Game Adventure,4.12,2524,Everyone,2017-08-29,0.0,2.5M,1.34,2.3 and up,"100,000+"
Parenting,4.77,12149,Everyone,2020-04-04,0.0,47M,2.4,4.0.3 and up,"1,000,000+"
Entertainment,4.51,103,Mature 17+,2020-05-06,0.0,6.5M,1.3,4.1 and up,"5,000+"
Game Board,4.53,2769,Everyone,2020-03-21,0.0,8.6M,12.1.0,4.0 and up,"100,000+"
Education,3.8,715,Everyone,2020-04-07,0.0,19M,1.3.3,5.0 and up,"100,000+"
Music And Audio,4.93,365,Everyone,2019-12-22,0.0,63M,1422,4.4 and up,"1,000+"
Sports,4.13,1736,Everyone,2020-04-17,0.0,13M,1.43,4.4 and up,"100,000+"
Education,4.55,785,Everyone,2019-11-04,0.0,7.2M,1.5,4.2 and up,"100,000+"
Travel And Local,4.29,105,Everyone,2020-03-03,0.0,8.2M,2.0.21,4.2 and up,"10,000+"
Dating,3.5,13202,Mature 17+,2019-08-11,0.0,6.1M,2.4.1,4.1 and up,"1,000,000+"
House And Home,4.16,89813,Everyone,2020-04-18,0.0,20M,7.10.0,5.0 and up,"1,000,000+"
Shopping,4.51,180,Everyone,2020-03-31,0.0,8.1M,2.4.6,4.4 and up,"10,000+"
Game Trivia,4.55,20,Everyone,2019-11-22,0.0,2.7M,7,4.1 and up,100+
Libraries And Demo,4.4,58,Everyone,2019-08-10,0.0,15M,1.0,4.0.3 and up,"10,000+"
Education,4.14,2821,Everyone,2020-02-20,0.0,5.2M,1.22,4.2 and up,"100,000+"
Books And Reference,4.72,42181,Everyone,2019-11-28,0.0,11M,2.8.75,4.1 and up,"1,000,000+"
Music And Audio,4.83,593,Everyone,2020-03-31,0.0,86M,3,4.1 and up,"100,000+"
Communication,4.41,46333,Everyone,2020-03-21,0.0,,,5.0 and up,"5,000,000+"
Maps And Navigation,4.5,101,Everyone,2019-12-19,0.0,2.4M,1.0.5,2.3 and up,"10,000+"
Medical,3.47,339,Everyone,2020-04-28,0.0,49M,4.1.0,5.0 and up,"100,000+"
Sports,4.3,760,Everyone,2019-10-09,0.0,22M,2.0.0,5.0 and up,"100,000+"
Game Arcade,4.42,257957,Teen,2016-03-16,0.0,17M,2.1.3,2.3.3 and up,"5,000,000+"
Productivity,4.0,36,Everyone,2020-04-29,0.0,15M,1.2.5,4.1 and up,"1,000+"
Finance,4.38,12635,Everyone,2019-12-31,0.0,9.6M,3.11.0,4.0 and up,"500,000+"
Dating,2.45,22,Mature 17+,2019-10-16,0.0,32M,1.0.0,4.2 and up,"1,000+"
Family,4.2,636,Everyone,2019-07-26,0.0,4.0M,1.21,4.0.3 and up,"100,000+"
News And Magazines,4.5,103074,Mature 17+,2019-08-06,0.0,,,,"1,000,000+"
Lifestyle,4.6,17,Everyone,2019-08-01,0.0,19M,2.1.1,4.4 and up,"1,000+"
Game Sports,4.27,691369,Everyone,2020-05-03,0.0,41M,2.7,4.1 and up,"10,000,000+"
Family,4.5,19,Everyone,2019-08-07,0.0,5.4M,1.6.7.1,4.1 and up,"5,000+"
Tools,4.75,16,Everyone,2020-04-23,0.0,5.7M,1.1,4.1 and up,"1,000+"
Lifestyle,4.12,10194,Everyone,2020-05-05,0.0,18M,4.055,4.1 and up,"100,000+"
Education,4.59,1921,Everyone,2020-05-02,0.0,25M,6.4,4.1 and up,"100,000+"
Social,4.6,70616,Teen,2019-08-31,0.0,,,,"5,000,000+"
Education,4.44,1252,Everyone,2019-08-15,0.0,,,,"100,000+"
Entertainment,4.53,1146,Everyone,2019-12-11,0.0,18M,1.0.06,4.0.3 and up,"100,000+"
Productivity,4.2,322275,Everyone,2019-11-09,0.0,,,4.4 and up,"1,000,000,000+"
Game Arcade,4.47,4086667,Everyone,2020-04-22,0.0,94M,4.1.0,4.1 and up,"100,000,000+"
Game,4.5,168717,Mature 17+,2019-09-07,0.0,56M,1.3.205,2.3 and up,"10,000,000+"
Education,4.54,16325,Everyone,2019-11-14,0.0,2.0M,1,2.3.3 and up,"1,000,000+"
Productivity,4.08,37,Everyone,2019-07-07,0.0,2.5M,1.3.2,4.0 and up,"10,000+"
Entertainment,4.32,2802,Everyone,2020-04-21,0.0,15M,2.0.29.1,4.0 and up,"100,000+"
Medical,4.86,125183,Everyone,2020-03-21,0.0,4.2M,1.2.5,4.1 and up,"1,000,000+"
Game Sports,4.63,327048,Everyone,2020-03-25,0.0,46M,2.1.13,4.1 and up,"10,000,000+"
Tools,4.63,36832,Everyone,2020-04-07,0.0,4.6M,1.6.7,4.4 and up,"1,000,000+"
Finance,4.36,218406,Everyone,2020-05-06,0.0,61M,2.0.4,4.4 and up,"10,000,000+"
Entertainment,2.99,78,Everyone,2020-01-25,0.0,3.4M,10.0.3,5.0 and up,"1,000,000+"
Social,3.89,2912,Everyone,2020-04-19,0.0,8.8M,3.1.1,4.4 and up,"500,000+"
Social,4.2,83488,Everyone,2019-08-28,0.0,,,,"5,000,000+"
Photography,3.94,295,Everyone,2019-11-16,0.0,14M,1.0.7,4.1 and up,"10,000+"
Communication,4.4,27540,Everyone,2019-02-09,0.0,3.7M,1.26.001,4.0 and up,"1,000,000+"
Game Racing,4.22,12135,Everyone,2020-05-01,0.0,96M,1.13.2,4.2 and up,"5,000,000+"
Photography,4.2,1028637,Everyone,2019-01-25,0.0,,,,"100,000,000+"
Education,3.33,3,Everyone,2020-04-24,0.0,30M,1.3.0,4.1 and up,100+
Game Arcade,4.46,70971,Everyone,2019-04-14,0.0,51M,1.4.2,4.0.3 and up,"10,000,000+"
Entertainment,4.61,111,Everyone,2018-08-05,0.0,2.5M,2,2.3 and up,"5,000+"
Game Puzzle,4.37,40322,Everyone,2020-04-16,0.0,85M,1.3.7,4.4 and up,"1,000,000+"
Books And Reference,4.57,1039,Everyone,2020-03-17,0.0,5.6M,2.8.0.6.cu,4.1 and up,"100,000+"
News And Magazines,4.5,27,Everyone,2019-06-10,0.0,7.1M,7.5.0,4.1 and up,500+
