category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Game Board,3.91,25591,23M,372.1542,Everyone,Apr 09 2020,4.6.9,4.0 and up,"500,000+"
Education,4.3,656,556k,Free,Everyone,Aug 15 2015,1.1,2.2 and up,"10,000+"
House And Home,3.5,6,8.2M,Free,Everyone,Apr 29 2020,1.0.23,4.4 and up,"5,000+"
Game Action,4.5,48745,41M,Free,Everyone,Nov 22 2019,1.2.5,4.2 and up,"1,000,000+"
Personalization,4.2,18926,2.9M,Free,Everyone,Nov 02 2014,0.5.2 beta,2.2 and up,"1,000,000+"
Game Puzzle,4.86,50152,38M,Free,Everyone,May 07 2020,8.2.2,4.1 and up,"1,000,000+"
Sports,4.4,129409,73M,148.4142,Everyone,Sep 08 2019,1.5.1,4.0.3 and up,"1,000,000+"
Productivity,4.61,28795,Varies with device,Free,Everyone,May 03 2020,Varies with device,Varies with device,"500,000+"
Business,4.0,3,16M,Free,Everyone,May 22 2019,1.10,4.1 and up,"1,000+"
Health And Fitness,4.9,272337,13M,Free,Everyone,Jul 26 2019,1.0.2,4.2 and up,"10,000,000+"
Health And Fitness,4.76,9110,8.3M,Free,Everyone,Jul 02 2017,2.0.3,4.1 and up,"100,000+"
Education,4.65,4542,45M,Free,Everyone,May 05 2020,2.6.1,4.1 and up,"500,000+"
Tools,4.3,817,7.0M,Free,Everyone,Nov 02 2019,1.8,4.1 and up,"100,000+"
Game Casual,4.33,10521,70M,222.9942,Everyone 10+,Apr 20 2019,1.8,4.0 and up,"100,000+"
Education,4.71,42,14M,Free,Everyone,Feb 28 2020,1,4.1 and up,"5,000+"
Education,4.53,5396,2.6M,Free,Everyone,Jan 30 2020,4.6.5,4.0.3 and up,"100,000+"
News And Magazines,4.32,38701,Varies with device,Free,Everyone,May 01 2020,Varies with device,Varies with device,"1,000,000+"
Shopping,4.4,25587,14M,Free,Everyone,Mar 17 2020,2.2.15,6.0 and up,"10,000,000+"
Finance,4.2,5,7.9M,Free,Everyone,Oct 04 2019,1.5.1,4.3 and up,"1,000+"
Art And Design,3.4,486,5.9M,Free,Everyone,Aug 30 2019,5.7,5.0 and up,"100,000+"
Game Simulation,4.42,5761,94M,Free,Everyone,May 07 2020,1.5.45,4.0.3 and up,"100,000+"
Entertainment,3.9,1917,32M,Free,Everyone,Dec 18 2019,1.2.6,5.0 and up,"100,000+"
Weather,4.4,1558437,Varies with device,Free,Everyone,Sep 05 2019,Varies with device,Varies with device,"50,000,000+"
Communication,4.2,2424,6.1M,Free,Everyone,Feb 12 2020,1.16,4.4 and up,"100,000+"
Game Casual,4.37,250,2.9M,Free,Everyone,Oct 26 2016,1.0.3,2.3.3 and up,"10,000+"
Education,2.98,43,19M,Free,Everyone,Feb 11 2020,2.1.0,4.4 and up,"10,000+"
Family,4.4,203101,Varies with device,Free,Everyone,Jul 05 2019,Varies with device,4.1 and up,"5,000,000+"
News And Magazines,4.4,99,10M,Free,Everyone,Feb 27 2020,6.8,4.1 and up,"1,000+"
Tools,2.8,5,9.0M,Free,Everyone,Apr 28 2020,1.1.6,4.3 and up,100+
Photography,4.14,106,29M,Free,Everyone,Nov 02 2019,1.1,4.0.3 and up,"10,000+"
Education,3.24,21,7.3M,Free,Everyone,Feb 14 2020,7.3.0,5.0 and up,"5,000+"
Entertainment,3.65,147,69M,Free,Everyone,Nov 19 2019,1.6.7,4.4 and up,"10,000+"
Entertainment,4.63,2589,35M,Free,Everyone,Mar 22 2020,1.2,4.1 and up,"100,000+"
Tools,4.59,218,2.1M,73.8342,Everyone,Aug 09 2019,4.0.3 pro,4.4 and up,"5,000+"
Education,4.38,993,3.9M,Free,Everyone,Feb 19 2020,1.5.1,3.1 and up,"50,000+"
Shopping,3.55,11,7.3M,Free,Everyone,Jan 30 2018,1,4.0.3 and up,"5,000+"
News And Magazines,4.3,577,5.5M,Free,Everyone,Apr 25 2020,1,4.0.3 and up,"50,000+"
Maps And Navigation,4.42,179,9.9M,Free,Everyone,Apr 15 2020,1.2,4.0.3 and up,"10,000+"
Lifestyle,4.72,27589,40M,Free,Everyone,Apr 27 2020,1.17.3,4.2 and up,"500,000+"
Maps And Navigation,4.67,3,5.6M,Free,Everyone,Apr 20 2020,1.5,4.4 and up,100+
Travel And Local,3.7,16980,Varies with device,Free,Everyone,Aug 22 2019,Varies with device,Varies with device,"5,000,000+"
Game Puzzle,4.53,44077,100M,Free,Everyone,Mar 26 2020,1.0.4,4.1 and up,"1,000,000+"
Sports,4.45,394,21M,Free,Everyone,Jan 25 2019,1.0.0,4.2 and up,"50,000+"
Entertainment,4.36,126,15M,Free,Everyone,Sep 07 2016,1.1.0,2.2 and up,"10,000+"
Photography,4.45,9496,17M,Free,Everyone,Feb 18 2020,2.4,4.1 and up,"1,000,000+"
Productivity,4.6,27135,Varies with device,372.1542,Everyone,Jun 28 2019,Varies with device,Varies with device,"100,000+"
Medical,4.5,199,1.8M,894.2142,Everyone,Aug 01 2019,3.0.5,4.4w and up,"10,000+"
Game Board,4.38,30007,23M,Free,Everyone,Nov 22 2019,1.4.9,4.0 and up,"1,000,000+"
Education,4.23,4597,13M,Free,Everyone,Mar 18 2020,39,4.0.3 and up,"1,000,000+"
Finance,4.7,20036,13M,Free,Everyone,Apr 29 2020,4.2.1,4.1 and up,"500,000+"
Tools,4.68,41,6.6M,Free,Everyone,Feb 04 2020,4,4.1 and up,"10,000+"
Game,4.2,1343866,56M,Free,Teen,Sep 05 2019,1.180271.184729,4.0 and up,"10,000,000+"
Lifestyle,4.89,3665,13M,Free,Everyone,Jan 25 2020,2.2.0,4.4 and up,"50,000+"
Business,4.28,1845,58M,Free,Everyone,Apr 30 2020,7.15.11,5.0 and up,"100,000+"
Finance,4.59,32,20M,Free,Everyone,Jan 21 2020,1.0.10,4.0 and up,"5,000+"
Tools,3.14,42,18M,Free,Everyone,Jan 08 2019,1.6,3.0 and up,"10,000+"
Dating,4.04,18277,49M,Free,Mature 17+,Jan 17 2020,4.6.0,4.0.3 and up,"1,000,000+"
Music And Audio,4.19,36,5.7M,Free,Everyone,Dec 17 2016,1,4.0 and up,"5,000+"
Personalization,4.6,4724,5.4M,Free,Everyone,Sep 03 2019,1.2,4.0.3 and up,"1,000,000+"
Finance,3.6,903,21M,Free,Everyone,Apr 21 2020,7.2.1150.2.717,4.2 and up,"100,000+"
Photography,4.5,12572,8.5M,Free,Everyone,Apr 18 2019,1.31,4.0 and up,"1,000,000+"
Books And Reference,4.75,12,4.8M,Free,Everyone,Nov 15 2019,1.4,4.4 and up,"1,000+"
Books And Reference,4.68,84,2.2M,Free,Everyone,Sep 15 2018,1,4.0 and up,"10,000+"
Game Casual,4.56,26729,13M,Free,Everyone,Mar 07 2020,1.16,4.0 and up,"5,000,000+"
Personalization,4.12,4751,6.8M,Free,Everyone,Mar 26 2020,1.7c.free,4.4 and up,"1,000,000+"
Photography,4.65,19631,21M,Free,Everyone,May 06 2020,2.1,4.2 and up,"1,000,000+"
Productivity,4.41,2020,2.2M,Free,Everyone,Dec 09 2017,1.1.2,4.1 and up,"500,000+"
Music And Audio,4.7,47,77M,Free,Everyone,Feb 05 2020,1,4.1 and up,"5,000+"
Communication,4.4,2473509,Varies with device,Free,Everyone,Sep 04 2019,47.1.2249.129326,Varies with device,"100,000,000+"
Finance,3.06,5924,13M,Free,Everyone,Apr 08 2020,17.4.0,4.1 and up,"500,000+"
Game Casual,4.16,108,36M,Free,Everyone,Feb 04 2020,1.02,4.1 and up,"10,000+"
Comics,4.6,245,25M,Free,Teen,Apr 13 2020,1.2.4,5.0 and up,"50,000+"
Game Arcade,4.38,601284,89M,Free,Everyone,Sep 18 2019,2.9,4.1 and up,"10,000,000+"
Shopping,3.51,327,3.8M,Free,Everyone,Apr 12 2020,2.6,4.0.3 and up,"50,000+"
Personalization,4.2,25807,5.5M,Free,Everyone,Dec 03 2018,15.0,4.1 and up,"1,000,000+"
Tools,4.56,3944,2.7M,Free,Everyone,Apr 27 2020,1.7.7,4.2 and up,"500,000+"
Business,1.33,9,2.6M,Free,Everyone,Oct 25 2019,1.1,5.0 and up,"1,000+"
Game Trivia,4.32,7389,25M,Free,Everyone 10+,May 05 2020,3.8.3,4.1 and up,"500,000+"
Game Role Playing,4.34,2211,Varies with device,Free,Everyone 10+,Apr 27 2020,1.7.4,4.1 and up,"100,000+"
Education,4.63,439,23M,Free,Everyone,Dec 17 2019,1.3,4.0 and up,"10,000+"
Books And Reference,4.9,10,5.2M,Free,Everyone,Jan 29 2020,1.3,4.4 and up,"1,000+"
Tools,4.9,83,3.1M,297.5742,Everyone,Jul 06 2019,2.0.0,5.0 and up,500+
Game Casual,4.4,67234,31M,Free,Everyone,Feb 21 2020,3.0.2,4.0.3 and up,"5,000,000+"
Social,4.0,852455,68M,Free,Mature 17+,Sep 07 2019,27.0,4.2 and up,"10,000,000+"
Music And Audio,4.47,17,5.6M,Free,Everyone,Feb 27 2020,1.2,4.4 and up,"10,000+"
Game Puzzle,4.24,89,20M,Free,Everyone,Mar 13 2020,1,4.1 and up,"100,000+"
Game,4.8,230710,87M,Free,Everyone,Sep 06 2019,1.0.47,4.1 and up,"10,000,000+"
Game Role Playing,4.61,911,5.2M,372.1542,Teen,Dec 12 2019,1.1.1,4.0 and up,"5,000+"
Medical,4.33,6,20M,Free,Everyone,Mar 04 2020,1.4,4.3 and up,"1,000+"
Family,3.4,12,11M,Free,Everyone,Oct 20 2018,1.5_6,4.0 and up,"1,000+"
Social,4.3,1716,13M,Free,Mature 17+,Apr 16 2020,5.10.1,4.1 and up,"100,000+"
Business,4.87,470,4.6M,Free,Everyone,Aug 29 2017,1.1.2,2.3 and up,"50,000+"
Productivity,4.4,480640,Varies with device,Free,Everyone,Aug 26 2019,16.0.10325.20024,4.4 and up,"100,000,000+"
Communication,4.86,429,7.9M,Free,Everyone,Dec 27 2019,1.3.1,5.0 and up,"10,000+"
Game Educational,3.89,3260,16M,Free,Everyone,May 06 2020,2.0.6,4.4 and up,"1,000,000+"
Lifestyle,4.13,13870,3.8M,Free,Everyone,Jan 04 2020,1.1.27,2.3 and up,"1,000,000+"
Video Players,3.5,54,186k,Free,Everyone,May 27 2014,1.0,2.2 and up,"10,000+"
Game Strategy,3.94,751,29M,Free,Everyone 10+,Nov 26 2019,1.0.1,4.0 and up,"10,000+"
Game Puzzle,4.23,890,33M,Free,Everyone,Jan 29 2020,2.7,4.1 and up,"100,000+"
Medical,4.8,6874,48M,Free,Everyone,May 05 2020,3.0.3,5.0 and up,"100,000+"
Entertainment,4.36,224319,21M,Free,Mature 17+,May 05 2020,3.6.5,4.4 and up,"5,000,000+"
Lifestyle,4.32,71325,12M,Free,Everyone,May 06 2020,2.22.0,4.0.3 and up,"1,000,000+"
Medical,3.5,250,23M,Free,Everyone,Aug 13 2019,1.2.0,4.4 and up,"100,000+"
Education,4.21,1022,11M,446.7342,Everyone,Apr 17 2017,3.5,3.0 and up,"10,000+"
Photography,4.3,13258,Varies with device,Free,Everyone,Jul 25 2019,2.3.0 build 180,5.0 and up,"1,000,000+"
Finance,3.71,15476,64M,Free,Everyone,Apr 30 2020,3.27.3,5.0 and up,"1,000,000+"
Tools,4.35,409,1.2M,Free,Everyone,Jul 03 2017,1.3,4.0.3 and up,"10,000+"
Personalization,4.1,285,3.9M,Free,Teen,Nov 07 2018,5.0,2.3 and up,"50,000+"
Video Players,4.21,13398,Varies with device,Free,Teen,Jan 18 2020,Varies with device,Varies with device,"1,000,000+"
Entertainment,4.1,1605,82M,Free,Everyone,Apr 29 2020,6,4.0 and up,"1,000,000+"
Lifestyle,3.54,24,Varies with device,Free,Everyone,Oct 04 2015,Varies with device,Varies with device,"10,000+"
Business,2.19,11657,Varies with device,Free,Everyone,Apr 29 2020,Varies with device,Varies with device,"1,000,000+"
Music And Audio,4.59,605260,15M,Free,Everyone,Apr 06 2020,5,4.1 and up,"10,000,000+"
Sports,4.24,21290,Varies with device,Free,Everyone,May 07 2020,Varies with device,Varies with device,"1,000,000+"
Finance,4.27,619,5.6M,Free,Everyone,Jan 20 2020,3.1,4.0 and up,"100,000+"
House And Home,4.13,2539,34M,Free,Everyone,May 02 2020,1.7.7,4.4 and up,"100,000+"
Game Puzzle,4.13,1560,11M,Free,Everyone,Jan 30 2020,5.4,4.1 and up,"100,000+"
Books And Reference,4.32,3554,8.3M,Free,Everyone,Feb 19 2020,2,4.4 and up,"1,000,000+"
Entertainment,3.53,2937,17M,Free,Everyone,Jan 27 2020,1.17.42,4.0.3 and up,"500,000+"
Personalization,4.47,17398,8.1M,Free,Everyone,Sep 20 2018,1.8.0.1807,4.0.3 and up,"1,000,000+"
Shopping,4.54,45278,34M,Free,Everyone,May 06 2020,5.5.0,4.4 and up,"5,000,000+"
Shopping,4.31,1356,11M,Free,Teen,May 05 2020,5.3.0,4.3 and up,"500,000+"
Game,4.5,10055521,94M,Free,Everyone,Aug 02 2019,1_39_93,4.0.3 and up,"100,000,000+"
Food And Drink,3.52,4052,23M,Free,Everyone,Mar 19 2020,4.0.1,4.4 and up,"500,000+"
News And Magazines,1.78,118,68M,Free,Teen,Dec 07 2019,3.0.126.103,4.1 and up,"10,000+"
Game Board,4.26,82155,88M,Free,Everyone,Apr 22 2020,6.2.2,4.1 and up,"5,000,000+"
Video Players,4.18,170611,12M,Free,Everyone,Apr 16 2020,2.1.0,4.1 and up,"10,000,000+"
Game Strategy,4.51,21342,73M,Free,Teen,Apr 17 2020,1.1.0.5,4.4 and up,"1,000,000+"
Photography,4.21,3334,Varies with device,Free,Everyone,Apr 23 2020,Varies with device,Varies with device,"500,000+"
Game,4.2,93608,Varies with device,Free,Everyone,Mar 16 2019,Varies with device,Varies with device,"10,000,000+"
Game Casual,3.53,1121,5.6M,Free,Everyone,Dec 18 2019,1.0.9,2.3 and up,"100,000+"
Productivity,4.74,31,140k,Free,Everyone,Dec 15 2015,1.32,4.0 and up,100+
Game Casual,4.2,126239,94M,Free,Everyone,Nov 15 2019,8.8,2.3.3 and up,"1,000,000+"
Education,4.6,25,5.6M,Free,Everyone,Apr 08 2020,1.004,4.1 and up,"1,000+"
Video Players,4.5,1013867,32M,Free,Everyone,Sep 07 2019,4.5.0.10701.gp,4.1 and up,"50,000,000+"
Social,4.58,130,13M,Free,Everyone,Feb 18 2019,1.02,4.1 and up,"10,000+"
Communication,4.67,49745,10M,Free,Everyone,Aug 10 2018,2.1.4,2.3 and up,"1,000,000+"
Photography,4.38,1072743,Varies with device,Free,Everyone,Dec 03 2019,Varies with device,Varies with device,"100,000,000+"
Game Sports,4.13,3414,87M,Free,Everyone,May 02 2020,1.3.8_1,4.4 and up,"500,000+"
Personalization,3.7,10796,6.8M,Free,Everyone,Aug 10 2019,6.7.5,4.0.3 and up,"1,000,000+"
Sports,4.44,3008,3.4M,Free,Everyone,Apr 08 2020,2.3.2,4.0 and up,"100,000+"
Tools,5.0,3,1.5M,Free,Everyone,Aug 06 2019,2.8.0,5.1 and up,100+
Auto And Vehicles,4.1,4721,3.0M,Free,Everyone,Apr 21 2020,5.8.13,5.0 and up,"100,000+"
Travel And Local,3.18,678,15M,Free,Everyone,Apr 16 2020,2.2.66,4.1 and up,"100,000+"
Tools,4.39,2750,8.4M,Free,Everyone,Feb 12 2020,3.2.4,3.0 and up,"100,000+"
Productivity,4.0,4660,5.9M,Free,Everyone,Nov 10 2017,1.0,4.0 and up,"1,000,000+"
Game Action,3.89,1685,50M,Free,Teen,May 07 2020,1.8,4.0.3 and up,"1,000,000+"
Business,4.15,20981,45M,Free,Everyone,May 01 2020,18.1,5.0 and up,"1,000,000+"
Events,5.0,2,58M,Free,Everyone,Mar 31 2020,5.42,6.0 and up,100+
Finance,3.74,4904,Varies with device,Free,Everyone,Apr 16 2020,Varies with device,Varies with device,"1,000,000+"
Shopping,4.75,13756,8.5M,Free,Everyone,Apr 24 2020,V2.7.3,4.0.3 and up,"500,000+"
Books And Reference,3.12,658,29M,Free,Everyone,Jan 04 2020,2.4,4.0.3 and up,"100,000+"
Medical,4.4,463,25M,Free,Everyone,Apr 22 2020,2.3.2.470,4.4 and up,"50,000+"
Entertainment,3.16,23457,12M,Free,Teen,Apr 29 2020,5.42.5,4.3 and up,"1,000,000+"
Lifestyle,4.36,156,14M,Free,Everyone,Jan 25 2020,0.1.8,4.1 and up,"10,000+"
Entertainment,4.34,437,3.0M,Free,Everyone,Oct 30 2019,1.4.6,4.1 and up,"100,000+"
Education,4.59,54368,5.4M,Free,Everyone,Jul 12 2019,1.8.1,4.1 and up,"1,000,000+"
Game,4.4,30,47M,Free,Everyone,Aug 06 2019,1.1,4.1 and up,"5,000+"
Finance,3.96,29427,20M,Free,Everyone,Apr 19 2020,0.6.6,4.4 and up,"5,000,000+"
Entertainment,4.19,435,3.3M,Free,Everyone,Apr 28 2020,5,4.1 and up,"100,000+"
Medical,4.34,32,2.3M,670.4742,Everyone,May 05 2020,2.0.8,2.3 and up,500+
Medical,3.83,826,75M,Free,Everyone,Apr 22 2020,3.5.1,4.4 and up,"100,000+"
Game Arcade,3.95,41716,53M,Free,Everyone,Mar 25 2020,1.4.9,4.4 and up,"10,000,000+"
Tools,4.17,477067,Varies with device,Free,Everyone,Jan 18 2019,Varies with device,Varies with device,"50,000,000+"
Game,3.7,11,4.8M,Free,Everyone,Jun 25 2019,6.2-begina,4.0 and up,"5,000+"
News And Magazines,4.7,273,6.3M,Free,Everyone,Sep 11 2019,2.9.0,4.1 and up,"10,000+"
Finance,3.52,423,8.9M,Free,Everyone,Apr 10 2020,2.0.1,4.4 and up,"50,000+"
Communication,3.85,329,6.6M,Free,Mature 17+,Apr 13 2020,1.4,4.0.3 and up,"500,000+"
Communication,3.74,24240,5.1M,Free,Everyone,Jun 09 2018,2.3.1,4.1 and up,"1,000,000+"
Education,4.88,8,Varies with device,745.0542,Everyone,Apr 26 2020,1,5.0 and up,100+
Game Educational,4.19,81204,88M,Free,Everyone,Dec 24 2019,1.4,4.1 and up,"10,000,000+"
Health And Fitness,3.84,51,11M,Free,Everyone,Mar 28 2020,8.1.6,4.1 and up,"10,000+"
Education,4.45,754,7.1M,Free,Everyone,Mar 21 2020,1.5,4.2 and up,"100,000+"
Health And Fitness,4.49,3346,49M,222.9942,Everyone,Mar 20 2020,107.9,6.0 and up,"50,000+"
Travel And Local,4.4,61776,Varies with device,Free,Teen,Aug 14 2019,Varies with device,Varies with device,"1,000,000+"
Medical,4.7,8348,2.6M,Free,Everyone,May 18 2019,1.4.6,4.0 and up,"500,000+"
Finance,3.18,6236,16M,Free,Everyone,Mar 27 2020,2.5.6,4.4 and up,"100,000+"
Social,3.6,40,1.5M,Free,Everyone,Mar 24 2018,4.4,4.2 and up,"5,000+"
Health And Fitness,4.0,32,64M,Free,Everyone,Jun 24 2018,3.9,4.1 and up,"5,000+"
Communication,4.32,589,9.3M,Free,Everyone,Jan 11 2020,3,4.0.3 and up,"100,000+"
Game Puzzle,4.37,389,8.6M,Free,Everyone,Dec 28 2019,1.10.0,4.0.3 and up,"50,000+"
Education,4.14,29,26M,Free,Everyone,May 31 2017,1.0.8,2.3 and up,"1,000+"
Education,4.68,2120,6.1M,Free,Everyone,Mar 10 2020,1.5,4.1 and up,"100,000+"
Game Adventure,4.12,2524,2.5M,Free,Everyone,Aug 29 2017,1.34,2.3 and up,"100,000+"
Parenting,4.77,12149,47M,Free,Everyone,Apr 04 2020,2.4,4.0.3 and up,"1,000,000+"
Entertainment,4.51,103,6.5M,Free,Mature 17+,May 06 2020,1.3,4.1 and up,"5,000+"
Game Board,4.53,2769,8.6M,Free,Everyone,Mar 21 2020,12.1.0,4.0 and up,"100,000+"
Education,3.8,715,19M,Free,Everyone,Apr 07 2020,1.3.3,5.0 and up,"100,000+"
Music And Audio,4.93,365,63M,Free,Everyone,Dec 22 2019,1422,4.4 and up,"1,000+"
Sports,4.13,1736,13M,Free,Everyone,Apr 17 2020,1.43,4.4 and up,"100,000+"
Education,4.55,785,7.2M,Free,Everyone,Nov 04 2019,1.5,4.2 and up,"100,000+"
Travel And Local,4.29,105,8.2M,Free,Everyone,Mar 03 2020,2.0.21,4.2 and up,"10,000+"
Dating,3.5,13202,6.1M,Free,Mature 17+,Aug 11 2019,2.4.1,4.1 and up,"1,000,000+"
House And Home,4.16,89813,20M,Free,Everyone,Apr 18 2020,7.10.0,5.0 and up,"1,000,000+"
Shopping,4.51,180,8.1M,Free,Everyone,Mar 31 2020,2.4.6,4.4 and up,"10,000+"
Game Trivia,4.55,20,2.7M,Free,Everyone,Nov 22 2019,7,4.1 and up,100+
Libraries And Demo,4.4,58,15M,Free,Everyone,Aug 10 2019,1.0,4.0.3 and up,"10,000+"
Education,4.14,2821,5.2M,Free,Everyone,Feb 20 2020,1.22,4.2 and up,"100,000+"
Books And Reference,4.72,42181,11M,Free,Everyone,Nov 28 2019,2.8.75,4.1 and up,"1,000,000+"
Music And Audio,4.83,593,86M,Free,Everyone,Mar 31 2020,3,4.1 and up,"100,000+"
Communication,4.41,46333,Varies with device,Free,Everyone,Mar 21 2020,Varies with device,5.0 and up,"5,000,000+"
Maps And Navigation,4.5,101,2.4M,Free,Everyone,Dec 19 2019,1.0.5,2.3 and up,"10,000+"
Medical,3.47,339,49M,Free,Everyone,Apr 28 2020,4.1.0,5.0 and up,"100,000+"
Sports,4.3,760,22M,Free,Everyone,Oct 09 2019,2.0.0,5.0 and up,"100,000+"
Game Arcade,4.42,257957,17M,Free,Teen,Mar 16 2016,2.1.3,2.3.3 and up,"5,000,000+"
Productivity,4.0,36,15M,Free,Everyone,Apr 29 2020,1.2.5,4.1 and up,"1,000+"
Finance,4.38,12635,9.6M,Free,Everyone,Dec 31 2019,3.11.0,4.0 and up,"500,000+"
Dating,2.45,22,32M,Free,Mature 17+,Oct 16 2019,1.0.0,4.2 and up,"1,000+"
Family,4.2,636,4.0M,Free,Everyone,Jul 26 2019,1.21,4.0.3 and up,"100,000+"
News And Magazines,4.5,103074,Varies with device,Free,Mature 17+,Aug 06 2019,Varies with device,Varies with device,"1,000,000+"
Lifestyle,4.6,17,19M,Free,Everyone,Aug 01 2019,2.1.1,4.4 and up,"1,000+"
Game Sports,4.27,691369,41M,Free,Everyone,May 03 2020,2.7,4.1 and up,"10,000,000+"
Family,4.5,19,5.4M,Free,Everyone,Aug 07 2019,1.6.7.1,4.1 and up,"5,000+"
Tools,4.75,16,5.7M,Free,Everyone,Apr 23 2020,1.1,4.1 and up,"1,000+"
Lifestyle,4.12,10194,18M,Free,Everyone,May 05 2020,4.055,4.1 and up,"100,000+"
Education,4.59,1921,25M,Free,Everyone,May 02 2020,6.4,4.1 and up,"100,000+"
Social,4.6,70616,Varies with device,Free,Teen,Aug 31 2019,Varies with device,Varies with device,"5,000,000+"
Education,4.44,1252,Varies with device,Free,Everyone,Aug 15 2019,Varies with device,Varies with device,"100,000+"
Entertainment,4.53,1146,18M,Free,Everyone,Dec 11 2019,1.0.06,4.0.3 and up,"100,000+"
Productivity,4.2,322275,Varies with device,Free,Everyone,Nov 09 2019,Varies with device,4.4 and up,"1,000,000,000+"
Game Arcade,4.47,4086667,94M,Free,Everyone,Apr 22 2020,4.1.0,4.1 and up,"100,000,000+"
Game,4.5,168717,56M,Free,Mature 17+,Sep 07 2019,1.3.205,2.3 and up,"10,000,000+"
Education,4.54,16325,2.0M,Free,Everyone,Nov 14 2019,1,2.3.3 and up,"1,000,000+"
Productivity,4.08,37,2.5M,Free,Everyone,Jul 07 2019,1.3.2,4.0 and up,"10,000+"
Entertainment,4.32,2802,15M,Free,Everyone,Apr 21 2020,2.0.29.1,4.0 and up,"100,000+"
Medical,4.86,125183,4.2M,Free,Everyone,Mar 21 2020,1.2.5,4.1 and up,"1,000,000+"
Game Sports,4.63,327048,46M,Free,Everyone,Mar 25 2020,2.1.13,4.1 and up,"10,000,000+"
Tools,4.63,36832,4.6M,Free,Everyone,Apr 07 2020,1.6.7,4.4 and up,"1,000,000+"
Finance,4.36,218406,61M,Free,Everyone,May 06 2020,2.0.4,4.4 and up,"10,000,000+"
